Title,Authors,Publication Year,DOI,DB,Población estudiada,Método de DL usado,"Datos emocionales usados (facial, voz, texto)",Emociones descritas,Técnicas de IA utilizadas,Base de datos,Árbol de emociones,Resultados principales,Limitaciones,Estado
social robots for hospitalized children,"Logan DE, Breazeal C, Goodwin MS, Jeong S, O'Connell B, Smith-Freedman D, Heathers J, Weinstock P.",2019,10.1542/peds.2018-1511,PubMed,,,,,,,,,,
social stress in adolescents induces depression and brain-region-specific modulation of the transcription factor max,"Resende LS, Amaral CE, Soares RB, Alves AS, Alves-Dos-Santos L, Britto LR, Chiavegatto S.",2016,10.1038/tp.2016.202,PubMed,,,,,,,,,,
socially activated neurons in the anterior cingulate cortex are essential for social behavior in mice,"Kitagawa K, Takemoto T, Seiriki K, Kasai A, Hashimoto H, Nakazawa T.",2024,10.1016/j.bbrc.2024.150251,PubMed,,,,,,,,,,
"socially assistive robotics and older family caregivers of young adults with intellectual and developmental disabilities (idd): a pilot study exploring respite, acceptance, and usefulness","Xu L, Fields NL, Greer JA, Tamplain PM, Bricout JC, Sharma B, Doelling KL.",2022,10.1371/journal.pone.0273479,PubMed,,,,,,,,,,
socially-assistive robots using empathy to reduce pain and distress during peripheral iv placement in children,"Trost MJ, Chrysilla G, Gold JI, Matarić M.",2020,10.1155/2020/7935215,PubMed,,,,,,,,,,
sparking interest in restaurant dishes? cognitive and affective processes underlying dish design and ecological origin. an fmri study,"Muñoz-Leiva F, Gómez-Carmona D.",2019,10.1016/j.physbeh.2018.06.017,PubMed,,,,,,,,,,
strength is in numbers: can concordant artificial listeners improve prediction of emotion from speech?,"Martinelli E, Mencattini A, Daprati E, Di Natale C.",2016,10.1371/journal.pone.0161752,PubMed,,,,,,,Se demostró que el modelo SRF es el único modelo capaz de explicar toda la variación espacial en cada una de las vulnerabilidades de desarrollo consideradas en el estudio de caso.,,,
stress detection using deep neural networks,"Li R, Liu Z.",2020,10.1186/s12911-020-01299-4,PubMed,Humano,red neuronal convolucional unidimensional y una red neuronal de perceptrón multicapa,"señales fisiológicas (sensores adheridos al cuerpo humano: electrocardiograma, actividad electrodermal, electromiografía, temperatura de la piel, frecuencia respiratoria y datos de acelerómetro de 3 ejes p. 3 p. 4)",estres y las emociones clasificadas que se miden no se mencionan explícitamente,"DL, ML, redes neuronales","conjunto de datos WESAD (""Detección de Estrés y Afecto Portátil"") disponible públicamente en el Repositorio de Aprendizaje Automático de la Universidad de California en Irvine p. 10. Y datos de investigaciones previas",El análisis espacial reveló que la asistencia al preescolar tiene una fuerte influencia en la vulnerabilidad del dominio de la salud física y la vulnerabilidad de la madurez emocional entre los niños en su primer año de escuela.,"1. Los métodos tradicionales de aprendizaje automático para la detección de estrés utilizando señales fisiológicas han mostrado resultados mixtos, con una precisión que oscila entre el 50% y el 90% p. 1.
2. El estudio desarrolló dos redes neuronales profundas, una red neuronal convolucional 1D profunda y una red neuronal perceptrón multicapa profunda, que superaron significativamente a los algoritmos tradicionales de aprendizaje automático tanto para la detección binaria de estrés como para las tareas de clasificación de emociones de 3 clases p. 9.
3. La investigación demostró el potencial de las redes neuronales profundas para desarrollar métodos robustos, continuos y no invasivos para la detección de estrés y la clasificación de emociones, con el objetivo de mejorar la calidad de vida p. 9.","1. el conjunto de datos relativamente pequeño utilizado (solo 15 personas)
2. el estudio reconoce la necesidad de futuras investigaciones para entrenar y probar las redes neuronales en conjuntos de datos más grandes y diversos, con el fin de mejorar su robustez y aplicabilidad a una gama más amplia de individuos p. 9",
stress detection using wearable physiological and sociometric sensors,"Mozos OM, Sandulescu V, Andrews S, Ellis D, Bellotto N, Dobrescu R, Ferrandez JM.",2017,10.1142/S0129065716500416,PubMed,,,,,,,La mayor asistencia al preescolar estuvo fuertemente asociada con una reducción de las vulnerabilidades del desarrollo físico y emocional entre los niños en su primer año de escuela a nivel de población de áreas pequeñas.,,,
stress reactivity influences the relationship between emotional labor strategies and job burnouts among chinese hospital nurses,"Deng H, Wu H, Qi X, Jin C, Li J.",2020,10.1155/2020/8837024,PubMed,,,,,,,"El estudio enfatiza la importancia de considerar la naturaleza espacial de los datos al ajustar modelos estadísticos de aprendizaje automático y proporciona información sobre los avances en las metodologías para aplicar el aprendizaje estadístico automático en la salud pública y comprender el desarrollo infantil en Queensland, Australia p. 1 pág. 10 .",,,
structural and functional alterations in right dorsomedial prefrontal and left insular cortex co-localize in adolescents with aggressive behaviour: an ale meta-analysis,"Raschle NM, Menks WM, Fehlbaum LV, Tshomba E, Stadler C.",2015,10.1371/journal.pone.0136553,PubMed,,,,,,,,,,
structured cerebellar connectivity supports resilient pattern separation,"Nguyen TM, Thomas LA, Rhoades JL, Ricchi I, Yuan XC, Sheridan A, Hildebrand DGC, Funke J, Regehr WG, Lee WA.",2023,10.1038/s41586-022-05471-w,PubMed,,,,,,,Estos hallazgos contribuyen a informar las políticas de educación y salud infantil temprana y a facilitar intervenciones más focalizadas geográficamente.,,,
"study habits, motives, and strategies of college students with symptoms of adhd","Simon-Dack SL, Rodriguez PD, Marcum GD.",2016,10.1177/1087054714543369,PubMed,,,,,,,,,,
study protocol of a randomized control trial on the effectiveness of improvisational music therapy for autistic children,"Jaschke AC, Howlin C, Pool J, Greenberg YD, Atkinson R, Kovalova A, Merriam E, Pallás-Ferrer I, Williams S, Moore C, Hayden K, Allison C, Odell-Miller H, Baron-Cohen S.",2024,10.1186/s12888-024-06086-3,PubMed,,,,,,,,,,
study protocol of the bergen brain-gut-microbiota-axis study: a prospective case-report characterization and dietary intervention study to evaluate the effects of microbiota alterations on cognition and anatomical and functional brain connectivity in patients with irritable bowel syndrome,"Berentsen B, Nagaraja BH, Teige EP, Lied GA, Lundervold AJ, Lundervold K, Steinsvik EK, Hillestad ER, Valeur J, Brønstad I, Gilja OH, Osnes B, Hatlebakk JG, Haász J, Labus J, Gupta A, Mayer EA, Benitez-Páez A, Sanz Y, Lundervold A, Hausken T.",2020,10.1097/MD.0000000000021950,PubMed,,,,,,,,,,
subtypes of the psychedelic experience have reproducible and predictable effects on depression and anxiety symptoms,"Nikolaidis A, Lancelotta R, Gukasyan N, Griffiths RR, Barrett FS, Davis AK.",2023,10.1016/j.jad.2022.12.042,PubMed,,,,,,,,,,
subtyping intractable functional constipation in children using clinical and laboratory data in a classification model,"Huang YH, Xie C, Chou CY, Jin Y, Li W, Wang M, Lu Y, Liu Z.",2023,10.3389/fped.2023.1148753,PubMed,,,,,,,,,,
"suicide deaths during the covid-19 stay-at-home advisory in massachusetts, march to may 2020","Faust JS, Shah SB, Du C, Li SX, Lin Z, Krumholz HM.",2021,10.1001/jamanetworkopen.2020.34273,PubMed,,,,,,,,,,
support vector machine prediction of individual autism diagnostic observation schedule (ados) scores based on neural responses during live eye-to-eye contact,"Zhang X, Noah JA, Singh R, McPartland JC, Hirsch J.",2024,10.1038/s41598-024-53942-z,PubMed,,,,,,,,,,
supporting an asd child with digital tools,"Vallart E, Gicquel L.",2017,10.1016/j.spsy.2017.04.009,PubMed,,,,,,,,,,
survey of potential receptivity to robotic-assisted exercise coaching in a diverse sample of smokers and nonsmokers,"Patten C, Levine J, Pavlidis I, Balls-Berry J, Shah A, Hughes C, Brockman T, Valdez Soto M, Witt D, Koepp G, Sinicrope P, Richards J.",2018,10.1371/journal.pone.0197090,PubMed,,,,,,,,,,
tackling explicit material from online video conferencing software for education using deep attention neural architectures,"Yang Y, Xu S.",2022,10.1155/2022/6334802,PubMed,,,,,,,,,,
task-based co-activation patterns reliably predict resting state canonical network engagement during development,"Ye F, Kohler R, Serio B, Lichenstein S, Yip SW.",2022,10.1016/j.dcn.2022.101160,PubMed,,,,,,,,,,
temporal stability of network centrality in control and default mode networks: specific associations with externalizing psychopathology in children and adolescents,"Sato JR, Biazoli CE Jr, Salum GA, Gadelha A, Crossley N, Satterthwaite TD, Vieira G, Zugman A, Picon FA, Pan PM, Hoexter MQ, Anés M, Moura LM, Del'aquilla MA, Amaro E Jr, McGuire P, Lacerda AL, Rohde LA, Miguel EC, Jackowski AP, Bressan RA.",2015,10.1002/hbm.22985,PubMed,,,,,,,,,,
test-retest reliability of functional connectivity in adolescents with depression,"Camp CC, Noble S, Scheinost D, Stringaris A, Nielson DM.",2024,10.1016/j.bpsc.2023.09.002,PubMed,,,,,,,,,,
testing a machine-learning algorithm to predict the persistence and severity of major depressive disorder from baseline self-reports,"Kessler RC, van Loo HM, Wardenaar KJ, Bossarte RM, Brenner LA, Cai T, Ebert DD, Hwang I, Li J, de Jonge P, Nierenberg AA, Petukhova MV, Rosellini AJ, Sampson NA, Schoevers RA, Wilcox MA, Zaslavsky AM.",2016,10.1038/mp.2015.198,PubMed,,,,,,,,,,
the acceptability and impact of the xploro digital therapeutic platform to inform and prepare children for planned procedures in a hospital: before and after evaluation study,"Bray L, Sharpe A, Gichuru P, Fortune PM, Blake L, Appleton V.",2020,10.2196/17367,PubMed,,,,,,,,,,
the application of artificial intelligence technology in education influences chinese adolescent's emotional perception,"Lai T, Zeng X, Xu B, Xie C, Liu Y, Wang Z, Lu H, Fu S.",2023,10.1007/s12144-023-04727-6,PubMed,,,,,,,,,,
the application of extended reality in treating children with autism spectrum disorder,"Zhao W, Xu S, Zhang Y, Li D, Zhu C, Wang K.",2024,10.1007/s12264-024-01190-6,PubMed,,,,,,,,,,
the association between adolescent football participation and early adulthood depression,"Deshpande SK, Hasegawa RB, Weiss J, Small DS.",2020,10.1371/journal.pone.0229978,PubMed,,,,,,,,,,
the association between anxiety and internet addiction among left-behind secondary school students: the moderating effect of social support and family types,"Miao S, Xu L, Gao S, Bai C, Huang Y, Peng B.",2024,10.1186/s12888-024-05855-4,PubMed,,,,,,,,,,
the behavioral phenotype of early life adversity: a 3-level meta-analysis of rodent studies,"Bonapersona V, Kentrop J, Van Lissa CJ, van der Veen R, Joëls M, Sarabdjitsingh RA.",2019,10.1016/j.neubiorev.2019.04.021,PubMed,,,,,,,,,,
the centrality of affective instability and identity in borderline personality disorder: evidence from network analysis,"Richetin J, Preti E, Costantini G, De Panfilis C.",2017,10.1371/journal.pone.0186695,PubMed,,,,,,,,,,
the champ app: a scalable mhealth technology for detecting digital phenotypes of early childhood mental health,"Loftness BC, Halvorson-Phelan J, O'Leary A, Bradshaw C, Prytherch S, Berman I, Torous J, Copeland WL, Cheney N, McGinnis RS, McGinnis EW.",2023,10.1101/2023.01.19.23284753,PubMed,,,,,,,,,,
the cingulum and cingulate u-fibers in children and adolescents with autism spectrum disorders,"Hau J, Aljawad S, Baggett N, Fishman I, Carper RA, Müller RA.",2019,10.1002/hbm.24586,PubMed,,,,,,,,,,
"the clinical application of fmri data in a single-patient diagnostic conundrum: classifying brain response to experimental pain to distinguish between gastrointestinal, depressive and eating disorder symptoms","Strigo IA, Murray SB, Simmons AN, Bernard RS, Huang JS, Kaye WH.",2017,10.1016/j.jocn.2017.07.023,PubMed,,,,,,,,,,
the closed loop between parental upbringing and online game addiction: a narrative study of rural children's growth in china,"Bao K, Zhang X, Cai L.",2024,10.2147/PRBM.S457068,PubMed,,,,,,,,,,
the computerized scoring algorithm for the autobiographical memory test: updates and extensions for analyzing memories of english-speaking adults,"Takano K, Hallford DJ, Vanderveren E, Austin DW, Raes F.",2019,10.1080/09658211.2018.1507042,PubMed,,,,,,,,,,
the degree of mu rhythm suppression in women is associated with presence of children as well as empathy and anxiety level,"Karimova ED, Gulyaeva AS, Katermin NS.",2022,10.1080/17470919.2022.2112753,PubMed,,,,,,,,,,
"the developmental brain age is associated with adversity, depression, and functional outcomes among adolescents","Drobinin V, Van Gestel H, Helmick CA, Schmidt MH, Bowen CV, Uher R.",2022,10.1016/j.bpsc.2021.09.004,PubMed,,,,,,,,,,
"the effect of different degrees of lockdown and self-identified gender on anxiety, depression and suicidality during the covid-19 pandemic: data from the international comet-g study","Fountoulakis KN, Karakatsoulis GN, Abraham S, Adorjan K, Ahmed HU, Alarcón RD, Arai K, Auwal SS, Berk M, Bjedov S, Bobes J, Bobes-Bascaran T, Bourgin-Duchesnay J, Bredicean CA, Bukelskis L, Burkadze A, Abud IIC, Castilla-Puentes R, Cetkovich M, Colon-Rivera H, Corral R, Cortez-Vergara C, Crepin P, De Berardis D, Delgado SZ, De Lucena D, De Sousa A, Stefano RD, Dodd S, Elek LP, Elissa A, Erdelyi-Hamza B, Erzin G, Etchevers MJ, Falkai P, Farcas A, Fedotov I, Filatova V, Fountoulakis NK, Frankova I, Franza F, Frias P, Galako T, Garay CJ, Garcia-Álvarez L, García-Portilla MP, Gonda X, Gondek TM, González DM, Gould H, Grandinetti P, Grau A, Groudeva V, Hagin M, Harada T, Hasan TM, Hashim NA, Hilbig J, Hossain S, Iakimova R, Ibrahim M, Iftene F, Ignatenko Y, Irarrazaval M, Ismail Z, Ismayilova J, Jacobs A, Jakovljević M, Jakšić N, Javed A, Kafali HY, Karia S, Kazakova O, Khalifa D, Khaustova O, Koh S, Kopishinskaia S, Kosenko K, Koupidis SA, Kovacs I, Kulig B, Lalljee A, Liewig J, Majid A, Malashonkova E, Malik K, Malik NI, Mammadzada G, Mandalia B, Marazziti D, Marčinko D, Martinez S, Matiekus E, Mejia G, Memon RS, Martínez XEM, Mickevičiūtė D, Milev R, Mohammed M, Molina-López A, et al.",2022,10.1016/j.psychres.2022.114702,PubMed,,,,,,,,,,
the effect of robot attentional behaviors on user perceptions and behaviors in a simulated health care interaction: randomized controlled trial,"Johanson DL, Ahn HS, MacDonald BA, Ahn BK, Lim J, Hwang E, Sutherland CJ, Broadbent E.",2019,10.2196/13667,PubMed,,,,,,,,,,
the effects of social presence and familiarity on children-robot interactions,"Chen YC, Yeh SL, Lin W, Yueh HP, Fu LC.",2023,10.3390/s23094231,PubMed,,,,,,,,,,
the efficacy of socially assistive robots in improving children's pain and negative affectivity during needle-based invasive treatment: a systematic review and meta-analysis,"Pan XY, Bi XY, Nong YN, Ye XC, Yan Y, Shang J, Zhou YM, Yao YZ.",2024,10.1186/s12887-024-05116-z,PubMed,,,,,,,,,,
the emotional content of children's writing: a data-driven approach,"Dong Y, Hsiao Y, Dawson N, Banerji N, Nation K.",2024,10.1111/cogs.13423,PubMed,,,,,,,,,,
the emotional landscape of pregnancy and postpartum during the covid-19 pandemic in italy: a mixed-method analysis using artificial intelligence,"Ravaldi C, Mosconi L, Bonaiuti R, Vannacci A.",2023,10.3390/jcm12196140,PubMed,,,,,,,,,,
the epidemic-pandemic impacts inventory (epii): a multisample study examining pandemic-related experiences and their relation to mental health,"Janssen T, McGuire AB, López-Castro T, Prince MA, Grasso DJ.",2023,10.1037/pas0001248,PubMed,,,,,,,,,,
"the epidia4kids protocol for a digital epidemiology study on brain functioning in children, based on a multimodality biometry tool running on an unmodified tablet","Douet Vannucci V, Marchand T, Hennequin A, Caci H, Staccini P.",2023,10.3389/fpubh.2023.1185565,PubMed,,,,,,,,,,
the evolution and disparities of online attitudes toward covid-19 vaccines: year-long longitudinal and cross-sectional study,"Zhang C, Xu S, Li Z, Liu G, Dai D, Dong C.",2022,10.2196/32394,PubMed,,,,,,,,,,
the glass ceiling: a biological phenomenon,Schulpen TWJ.,2017,10.1016/j.mehy.2017.07.002,PubMed,,,,,,,,,,
"the growing field of digital psychiatry: current evidence and the future of apps, social media, chatbots, and virtual reality","Torous J, Bucci S, Bell IH, Kessing LV, Faurholt-Jepsen M, Whelan P, Carvalho AF, Keshavan M, Linardon J, Firth J.",2021,10.1002/wps.20883,PubMed,,,,,,,,,,
the impact of pre-existing anxiety on affective and cognitive processing of a virtual reality analogue trauma,"Schweizer T, Schmitz J, Plempe L, Sun D, Becker-Asano C, Leonhart R, Tuschen-Caffier B.",2017,10.1371/journal.pone.0190360,PubMed,,,,,,,,,,
the impact of prenatal alcohol and/or tobacco exposure on brain structure in a large sample of children from a south african birth cohort,"Marshall AT, Bodison SC, Uban KA, Adise S, Jonker D, Charles W, Donald KA, Kan E, Ipser JC, Butler-Kruger L, Steigelmann B, Narr KL, Joshi SH, Brink LT, Odendaal HJ, Scheffler F, Stein DJ, Sowell ER.",2022,10.1111/acer.14945,PubMed,,,,,,,,,,
the impact of the digital revolution on human brain and behavior: where do we stand?,Korte M.,2020,10.31887/DCNS.2020.22.2/mkorte,PubMed,,,,,,,,,,
the impact of the endorse digital weight management program on the metabolic profile of children and adolescents with overweight and obesity and on food parenting practices,"Pervanidou P, Chatzidaki E, Nicolaides NC, Voutetakis A, Polychronaki N, Chioti V, Kitani RA, Kyrkopoulou E, Zarkogianni K, Kalafatis E, Mitsis K, Perakis Κ, Nikita K, Kanaka-Gantenbein C.",2023,10.3390/nu15071777,PubMed,,,,,,,,,,
the individual preferred velocity of stroking touch as a stable measurement,"Luong A, Bendas J, Etzi R, Olausson H, Croy I.",2017,10.1016/j.physbeh.2017.04.022,PubMed,,,,,,,,,,
the infant health effects of doulas: leveraging big data and machine learning to inform cost-effective targeting,"Peet ED, Schultz D, Lovejoy S, Tsui FR.",2024,10.1002/hec.4821,PubMed,,,,,,,,,,
the influence of visual supports and motivation on motor performance of the mabc-2 for chinese school-aged children with autism spectrum disorder,"Hu X, Wang H, Han ZR, Zhao Y, Ke L.",2021,10.1038/s41598-021-95155-8,PubMed,,,,,,,,,,
the latest developments with internet-based psychological treatments for depression,Andersson G.,2024,10.1080/14737175.2024.2309237,PubMed,,,,,,,,,,
the league: a person-centred approach to the development of social robotics for paediatric anxiety,"Dosso JA, Kailley JN, Robillard JM.",2024,10.1111/hex.13981,PubMed,,,,,,,,,,
"the link between autism and sex-related neuroanatomy, and associated cognition and gene expression","Floris DL, Peng H, Warrier V, Lombardo MV, Pretzsch CM, Moreau C, Tsompanidis A, Gong W, Mennes M, Llera A, van Rooij D, Oldehinkel M, Forde NJ, Charman T, Tillmann J, Banaschewski T, Moessnang C, Durston S, Holt RJ, Ecker C, Dell'Acqua F, Loth E, Bourgeron T, Murphy DGM, Marquand AF, Lai MC, Buitelaar JK, Baron-Cohen S, Beckmann CF; APEX Group; EU-AIMS LEAP Group.",2023,10.1176/appi.ajp.20220194,PubMed,,,,,,,,,,
the microbiota-gut-brain axis as a key regulator of neural function and the stress response: implications for human and animal health,"Wiley NC, Dinan TG, Ross RP, Stanton C, Clarke G, Cryan JF.",2017,10.2527/jas.2016.1256,PubMed,,,,,,,,,,
the nature of self-esteem and its relationship to anxiety and depression in adult acquired brain injury,"Longworth C, Deakins J, Rose D, Gracey F.",2018,10.1080/09602011.2016.1226185,PubMed,,,,,,,,,,
the neural correlates of emotional lability in children with autism spectrum disorder,"Bennett RH, Somandepalli K, Roy AK, Di Martino A.",2017,10.1089/brain.2016.0472,PubMed,,,,,,,,,,
the now and future of chatgpt and gpt in psychiatry,"Cheng SW, Chang CW, Chang WJ, Wang HW, Liang CS, Kishimoto T, Chang JP, Kuo JS, Su KP.",2023,10.1111/pcn.13588,PubMed,,,,,,,,,,
"the opportunities and challenges of the first three years of open up, an online text-based counselling service for youth and young adults","Yip PSF, Chan WL, Chan CS, He L, Xu Y, Chan E, Chau YC, Cheng Q, Cheng SH, Cheung F, Chow J, Chow S, Fung J, Hsu SM, Law YW, Lo B, Miu SM, Ng WM, Ngai K, Tsang C, Xiong C, Xu Z.",2021,10.3390/ijerph182413194,PubMed,,,,,,,,,,
the pandemic's toll on young adolescents: prevention and intervention targets to preserve their mental health,"Kiss O, Alzueta E, Yuksel D, Pohl KM, de Zambotti M, Műller-Oehring EM, Prouty D, Durley I, Pelham WE 3rd, McCabe CJ, Gonzalez MR, Brown SA, Wade NE, Marshall AT, Sowell ER, Breslin FJ, Lisdahl KM, Dick AS, Sheth CS, McCandliss BD, Guillaume M, Van Rinsveld AM, Dowling GJ, Tapert SF, Baker FC.",2022,10.1016/j.jadohealth.2021.11.023,PubMed,,,,,,,,,,
the perception of emotional cues by children in artificial background noise,"Parada-Cabaleiro E, Batliner A, Baird A, Schuller B.",2020,10.1007/s10772-020-09675-1,PubMed,,,,,,,,,,
the promises and perils of automated facial action coding in studying children's emotions,Martinez AM.,2019,10.1037/dev0000728,PubMed,,,,,,,,,,
the promoting effect of exercise motivation on physical fitness in college students: a mediation effect model,"Liu Y, Zhai X, Zhang Y, Jiang C, Zeng J, Yang M, Xie X, Zhou F, Xiang B.",2023,10.1186/s12889-023-17154-w,PubMed,,,,,,,,,,
the psychopathology and neuroanatomical markers of depression in early psychosis,"Upthegrove R, Lalousis P, Mallikarjun P, Chisholm K, Griffiths SL, Iqbal M, Pelton M, Reniers R, Stainton A, Rosen M, Ruef A, Dwyer DB, Surman M, Haidl T, Penzel N, Kambeitz-Llankovic L, Bertolino A, Brambilla P, Borgwardt S, Kambeitz J, Lencer R, Pantelis C, Ruhrmann S, Schultze-Lutter F, Salokangas RKR, Meisenzahl E, Wood SJ, Koutsouleris N; PRONIA Consortium.",2021,10.1093/schbul/sbaa094,PubMed,,,,,,,,,,
the relationship between alarm fatigue and burnout among critical care nurses: a cross-sectional study,"Ding S, Huang X, Sun R, Yang L, Yang X, Li X, Liu J, Yang H, Zhou H, Huang X, Su F, Shu L, Zheng X, Wang X.",2023,10.1111/nicc.12899,PubMed,,,,,,,,,,
"the relationship between linguistic expression in blog content and symptoms of depression, anxiety, and suicidal thoughts: a longitudinal study","O'Dea B, Boonstra TW, Larsen ME, Nguyen T, Venkatesh S, Christensen H.",2021,10.1371/journal.pone.0251787,PubMed,,,,,,,,,,
"the relationship between stress, anxiety and eating behavior among chinese students: a cross-sectional study","Chai Y, Fu G, Liu Y, Song Q, Xue C, Luo S.",2024,10.3389/fpubh.2024.1466700,PubMed,,,,,,,,,,
the relationship between theory of mind and moral sensitivity among chinese preschool children: the mediating role of empathy,"Du J, Liang Y, Guo D, Xiao Y.",2024,10.1186/s40359-024-01600-4,PubMed,,,,,,,,,,
the role of integrating ai and vr in fostering environmental awareness and enhancing activism among college students,"Cao F, Jian Y.",2024,10.1016/j.scitotenv.2023.168200,PubMed,,,,,,,,,,
the stress-buffering role of friendships in young people with childhood threat experiences: a preliminary report,"König M, Berhe O, Ioannidis K, Orellana S, Davidson E, Kaser M; RAISE Consortium; Moreno-López L, van Harmelen AL.",2023,10.1080/20008066.2023.2281971,PubMed,,,,,,,,,,
the uncanny valley effect in typically developing children and its absence in children with autism spectrum disorders,"Feng S, Wang X, Wang Q, Fang J, Wu Y, Yi L, Wei K.",2018,10.1371/journal.pone.0206343,PubMed,,,,,,,,,,
the use of social robots with children and young people on the autism spectrum: a systematic review and meta-analysis,"Kouroupa A, Laws KR, Irvine K, Mengoni SE, Baird A, Sharma S.",2022,10.1371/journal.pone.0269800,PubMed,,,,,,,,,,
threat-dependent scaling of prelimbic dynamics to enhance fear representation,"Casanova JP, Pouget C, Treiber N, Agarwal I, Brimble MA, Vetere G.",2024,10.1016/j.neuron.2024.04.029,PubMed,,,,,,,,,,
top-down modulation of neural activity in anticipatory visual attention: control mechanisms revealed by simultaneous eeg-fmri,"Liu Y, Bengson J, Huang H, Mangun GR, Ding M.",2016,10.1093/cercor/bhu204,PubMed,,,,,,,,,,
toward continuous social phenotyping: analyzing gaze patterns in an emotion recognition task for children with autism through wearable smart glasses,"Nag A, Haber N, Voss C, Tamura S, Daniels J, Ma J, Chiang B, Ramachandran S, Schwartz J, Winograd T, Feinstein C, Wall DP.",2020,10.2196/13810,PubMed,,,,,,,,,,
toward digital phenotypes of early childhood mental health via unsupervised and supervised machine learning,"Loftness BC, Rizzo DM, Halvorson-Phelan J, O'Leary A, Prytherch S, Bradshaw C, Brown AJ, Cheney N, McGinnis EW, McGinnis RS.",2023,10.1109/EMBC40787.2023.10340806,PubMed,,,,,,,,,,
toward the detection of reduced emotion expression intensity: an autism sibling study,"Turan B, Algedik Demirayak P, Yildirim Demirdogen E, Gulsen M, Cubukcu HC, Guler M, Alarslan H, Yilmaz AE, Dursun OB.",2023,10.1080/13803395.2023.2225234,PubMed,,,,,,,,,,
toward understanding how early-life stress reprograms cognitive and emotional brain networks,"Chen Y, Baram TZ.",2016,10.1038/npp.2015.181,PubMed,,,,,,,,,,
towards automated emotion classification of atypically and typically developing infants,"Lysenko S, Seethapathi N, Prosser L, Kording K, Johnson MJ.",2020,10.1109/BioRob49111.2020.9224271,PubMed,,,,,,,,,,
towards emotionally aligned social robots for dementia: perspectives of care partners and persons with dementia,"Dosso JA, Bandari E, Malhotra A, Hoey J, Michaud F, Prescott TJ, Robillard JM.",2022,10.1002/alz.059261,PubMed,,,,,,,,,,
"traces of trauma: a multivariate pattern analysis of childhood trauma, brain structure, and clinical phenotypes","Popovic D, Ruef A, Dwyer DB, Antonucci LA, Eder J, Sanfelici R, Kambeitz-Ilankovic L, Oztuerk OF, Dong MS, Paul R, Paolini M, Hedderich D, Haidl T, Kambeitz J, Ruhrmann S, Chisholm K, Schultze-Lutter F, Falkai P, Pergola G, Blasi G, Bertolino A, Lencer R, Dannlowski U, Upthegrove R, Salokangas RKR, Pantelis C, Meisenzahl E, Wood SJ, Brambilla P, Borgwardt S, Koutsouleris N; PRONIA Consortium.",2020,10.1016/j.biopsych.2020.05.020,PubMed,,,,,,,,,,
traditional and cyber bullying and sexual harassment: a longitudinal assessment of risk and protective factors,"Leemis RW, Espelage DL, Basile KC, Mercer Kollar LM, Davis JP.",2019,10.1002/ab.21808,PubMed,,,,,,,,,,
training the anxious brain: using fmri-based neurofeedback to change brain activity in adolescence,"Lipp A, Cohen Kadosh K.",2020,10.1111/dmcn.14611,PubMed,,,,,,,,,,
trajectories of remitted psychotic depression: identification of predictors of worsening by machine learning,"Banerjee S, Wu Y, Bingham KS, Marino P, Meyers BS, Mulsant BH, Neufeld NH, Oliver LD, Power JD, Rothschild AJ, Sirey JA, Voineskos AN, Whyte EM, Alexopoulos GS, Flint AJ; STOP-PD II Study Group.",2024,10.1017/S0033291723002945,PubMed,,,,,,,"En el contexto del estudio, el clasificador de expresiones faciales está diseñado para reconocer una variedad de emociones expresadas a través de las expresiones faciales de los niños. Si bien el estudio no menciona explícitamente un árbol de emociones, es probable que el clasificador esté capacitado para reconocer una variedad de emociones, incluidas emociones primarias y secundarias, para proporcionar una comprensión matizada de las expresiones emocionales de los niños.",,,
transdiagnostic dimensions towards personality pathology and childhood traumatic experience in a clinical sample: subtype classification by a cross-sectional analysis,"Wang J, Sun W, Tang X, Xu L, Wei Y, Cui H, Tang Y, Hui L, Jia Q, Zhu H, Wang J, Zhang T.",2019,10.1038/s41598-019-47754-9,PubMed,,,,,,,,,,
trust in ai agent: a systematic review of facial anthropomorphic trustworthiness for social robot design,"Song Y, Luximon Y.",2020,10.3390/s20185087,PubMed,,,,,,,,,,
uncovering psychiatric phenotypes using unsupervised machine learning: a data-driven symptoms approach,"Hofman A, Lier I, Ikram MA, van Wingerden M, Luik AI.",2023,10.1192/j.eurpsy.2023.13,PubMed,,,,,,,,,,
uncovering the most robust predictors of problematic pornography use: a large-scale machine learning study across 16 countries,"Bőthe B, Vaillancourt-Morel MP, Bergeron S, Hermann Z, Ivaskevics K, Kraus SW, Grubbs JB; Problematic Pornography Use Machine Learning Study Consortium.",2024,10.1037/abn0000913,PubMed,,,,,,,,,,
"uncovering the neuroanatomical correlates of cognitive, affective and conative theory of mind in paediatric traumatic brain injury: a neural systems perspective","Ryan NP, Catroppa C, Beare R, Silk TJ, Hearps SJ, Beauchamp MH, Yeates KO, Anderson VA.",2017,10.1093/scan/nsx066,PubMed,,,,,,,,,,
